mdu_id,pct_dead_cells,range
BPH3336,28.78,0.92
BPH3733,25.41,3.15
BPH2942,93.11,0.77
BPH2943,86.87,3.26
BPH2965,74.53,9.34
BPH2966,65.45,3.31
BPH3337,86.95,0.49
BPH3734,90.79,1.08
BPH2989,88.49,3.59
BPH2990,88.76,0.26
BPH2991,86.45,4.53
BPH2976,11.39,2.41
BPH2977,15.52,0.50
BPH2978,9.59,0.14
BPH2979,13.14,1.81
BPH2980,12.49,7.54
BPH2981,14.57,5.21
BPH2982,12.20,5.88
BPH2737,10.04,3.04
BPH2738,9.60,3.03
BPH2962,83.86,5.20
BPH2963,91.37,2.35
BPH2964,92.36,6.68
BPH2750,64.40,3.32
BPH2751,68.09,6.11
BPH3437,8.04,3.30
BPH3749,7.84,2.78
BPH3690,97.17,2.28
BPH3754,95.48,1.94
BPH2728,11.57,5.05
BPH2729,8.37,6.16
BPH2730,12.62,5.82
BPH2902,10.60,1.77
BPH2904,15.50,3.82
BPH2704,84.23,4.70
BPH2705,87.98,2.94
BPH3399,93.20,4.68
BPH3740,93.57,0.31
BPH2947,11.42,1.70
BPH2948,13.65,2.89
BPH3348,11.25,2.30
BPH3735,7.90,0.66
BPH3356,15.45,1.59
BPH3737,14.57,3.34
BPH3401,15.25,5.15
BPH3741,17.80,0.83
BPH3742,14.97,0.27
BPH3743,11.72,0.04
BPH3744,17.35,4.37
BPH3433,8.33,1.94
BPH3748,14.60,6.62
BPH3535,15.11,5.42
BPH3752,14.98,0.63
BPH3706,56.04,0.45
BPH3757,11.19,0.60